"Total.Depth","Secchi","Temp","DO","pH","Alk","TP","TP_ugL","TN","Chla","Phaeo","CTI_TP","CTI_Chlorophyll","CTI_Secchi"
266770,266770,259415,270969,267443,271248,270831,270831,270997,270997,270818,270997,270997,270997
263075,259289,259115,270932,267443,254193,256550,256550,270831,270969,270997,253439,270952,270831
264464,340975,259115,270872,267593,271733,260944,260944,256550,271056,270969,271022,271302,271829
263020,264425,259115,260817,267643,271925,271198,271198,271182,270831,270831,260732,262430,NA
340975,260086,259115,260680,267643,NA,269525,269525,269359,269290,269235,271209,NA,NA
263123,257183,263682,261350,267784,NA,269359,269359,261100,270750,268065,269575,NA,NA
271111,268699,260186,271505,267767,NA,261100,261100,271510,269525,270932,271555,NA,NA
271276,338354,270932,261320.5,267738,NA,271555,271555,254190.5,269359,256550,261435,NA,NA
271106,338354,261350,269840,271056,NA,269798,269798,254297,271293,260732,261678,NA,NA
271102,338297,269798,271523,270987,NA,254190.5,254190.5,269870,271140,269359,269913,NA,NA
263396,255951,269833,271514,270872,NA,271523,271523,270025,271514,261100,254383,NA,NA
255754,271850,269792,269827,269258,NA,271514,271514,270233,261647,261350,254413,NA,NA
271505,262323,269840,261678,253723,NA,261678,261678,271864,269870,269847,271813,NA,NA
257147,271864,271523,255826,271209,NA,263762,263762,270738,269961,271523,271829,NA,NA
271733,258395,271514,261647,253900,NA,254297,254297,NA,271892,271514,271884,NA,NA
338297,NA,269827,271591,261678,NA,269862,269862,NA,270729,271616,271946,NA,NA
269991,NA,261678,271813,263762,NA,271591,271591,NA,271901,261647,258459,NA,NA
271715,NA,271591,271829,269894,NA,254383,254383,NA,271864,254297,270667,NA,NA
269961,NA,271813,270025,269882,NA,254413,254413,NA,271925,269870,NA,NA,NA
271757,NA,271829,270042,271591,NA,271813,271813,NA,270738,254383,NA,NA,NA
271843,NA,271892,256348,271813,NA,271829,271829,NA,270193,270062,NA,NA,NA
270025,NA,256348,270711,271829,NA,271892,271892,NA,270741,270042,NA,NA,NA
258316,NA,270711,262501,271901,NA,271901,271901,NA,NA,271932,NA,NA,NA
268887,NA,262501,262430,256348,NA,271864,271864,NA,NA,270708,NA,NA,NA
266557,NA,262430,270667,270711,NA,271946,271946,NA,NA,271864,NA,NA,NA
258395,NA,270667,NA,270667,NA,256348,256348,NA,NA,271925,NA,NA,NA
257397,NA,NA,NA,NA,NA,270711,270711,NA,NA,262516,NA,NA,NA
258463,NA,NA,NA,NA,NA,262501,262501,NA,NA,270212,NA,NA,NA
NA,NA,NA,NA,NA,NA,262430,262430,NA,NA,256311,NA,NA,NA
NA,NA,NA,NA,NA,NA,270667,270667,NA,NA,254696,NA,NA,NA
NA,NA,NA,NA,NA,NA,271987,271987,NA,NA,NA,NA,NA,NA
